"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"12";"13789";"Enzo Nardon";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"France";"10";"1362";"Michael Bodegas";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"3";"1";"1";"0";"1";"1";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"1";"0";"0";"3";"0";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"France";"4";"2380";"Alexandre Bouet";"1";"4";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"France";"5";"1305";"Enzo Khasz";"1";"7";"1";"5";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"11"
"France";"3";"1307";"Ugo Crousillat";"3";"6";"1";"4";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0"
"France";"2";"1302";"Remi Saudadier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0"
"France";"1";"2378";"Clement Dubois";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"6";"1304";"Thomas Vernoux";"1";"6";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0"
"France";"8";"600";"Emil Bjorch";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Spain";"1";"581";"Unai Aguirre";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"17"
"Spain";"2";"1289";"Alberto Munarriz";"3";"5";"1";"2";"0";"1";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Spain";"3";"1290";"Alvaro Granados";"2";"5";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"2";"0";"1";"0";"0";"0";"1";"0"
"Spain";"4";"1291";"Bernat Sanahuja";"3";"6";"2";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0"
"Spain";"5";"1292";"Miguel de Toro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0"
"Spain";"6";"1293";"Marc Larumbe";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Spain";"7";"410";"Martin Famera";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"1";"0"
"Spain";"8";"2377";"Sergi Cabanas";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"1";"0"
"Spain";"9";"1296";"Roger Tahull";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"2";"0"
"Spain";"10";"1297";"Felipe Perrone";"1";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"2";"0";"0"
"Spain";"11";"420";"Unai Biel";"0";"5";"0";"3";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Spain";"12";"1299";"Alejandro Bustos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0"
"Spain";"13";"1300";"Eduardo Lorrio";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
