"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"France";"1";"1471";"Arshak Hovhannisyan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"France";"2";"1302";"Remi Saudadier";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"0";"0";"0"
"France";"3";"1307";"Ugo Crousillat";"1";"5";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"1";"1";"0"
"France";"4";"2380";"Alexandre Bouet";"2";"4";"2";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"2";"2";"0";"0"
"France";"5";"1305";"Enzo Khasz";"1";"3";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"2";"0";"1";"0";"1";"0"
"France";"6";"1304";"Thomas Vernoux";"3";"8";"0";"4";"0";"0";"2";"3";"1";"1";"0";"0";"1";"2";"1";"0";"0";"2";"2";"1";"0"
"France";"7";"1303";"Romain Marion-Vernoux";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"8";"600";"Emil Bjorch";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"2";"0";"0"
"France";"9";"1309";"Mehdi Marzouki";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"France";"10";"1362";"Michael Bodegas";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"2";"0";"2";"0"
"France";"11";"1311";"Pierre-Frederic Vanpeperstraete";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"France";"12";"913";"Duje Zivkovic";"1";"4";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"France";"13";"1313";"Hugo Fontani";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"4"
"Serbia";"2";"496";"Dusan Mandic";"4";"5";"1";"2";"0";"0";"2";"2";"1";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0"
"Serbia";"3";"733";"Strahinja Rasovic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"4";"1";"1";"0";"2";"0";"0";"0";"0"
"Serbia";"4";"381";"Sava Randjelovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"5";"1027";"Vuk Milojevic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"2";"0";"0";"0"
"Serbia";"6";"723";"Marko Radulovic";"1";"4";"1";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1";"0"
"Serbia";"7";"438";"Radomir Drasovic";"4";"4";"1";"1";"0";"0";"2";"2";"1";"1";"0";"0";"0";"1";"0";"2";"0";"1";"1";"0";"0"
"Serbia";"8";"464";"Nikola Jaksic";"3";"5";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"0";"3";"1";"0";"0";"2";"0";"0";"0"
"Serbia";"9";"1422";"Nemanja Vico";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"2";"3";"0"
"Serbia";"10";"380";"Nemanja Ubovic";"1";"3";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"3";"0"
"Serbia";"11";"1059";"Petar Jaksic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"0";"0"
"Serbia";"12";"439";"Viktor Rasovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1";"2";"0";"0";"0"
"Serbia";"13";"378";"Branislav Mitrovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"12"
"Serbia";"1";"718";"Radoslav Filipovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
