"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"VPK Primorac";"1";"490";"Francesco Massaro";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"VPK Primorac";"4";"1484";"Nika Shushiashvili";"1";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"VPK Primorac";"5";"2189";"Marko Mrsic";"0";"3";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"VPK Primorac";"2";"1367";"Drasko Brguljan";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"1";"0";"0"
"VPK Primorac";"3";"2393";"Savo Cetkovic";"1";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"2";"3";"1";"0"
"VPK Primorac";"9";"1422";"Nemanja Vico";"2";"2";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"1";"1";"0"
"Olympiacos Piraeus";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"Olympiacos Piraeus";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"2";"71";"Luka Loncar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"0";"0"
"Olympiacos Piraeus";"12";"1332";"Alexandros Papanastasiou";"3";"4";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"5";"1";"0";"0";"0";"1";"1";"0";"0"
"Olympiacos Piraeus";"10";"177";"Konstantinos Kakaris";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"2";"0";"0"
"Olympiacos Piraeus";"11";"128";"Dimitrios Nikolaidis";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0"
"VPK Primorac";"6";"104";"Luka Murisic";"1";"2";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0"
"VPK Primorac";"7";"2133";"Dusan Matkovic";"2";"5";"1";"2";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"VPK Primorac";"8";"2150";"Balsa Vuckovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"3";"1";"1";"0"
"VPK Primorac";"10";"8271";"Tim Perov";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"3";"1";"0";"0"
"VPK Primorac";"11";"2169";"Petar Cetkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"VPK Primorac";"13";"2152";"Dragoljub Cetkovic";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"VPK Primorac";"12";"2137";"Dordije Stanojevic";"0";"4";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"1";"0";"0"
"Olympiacos Piraeus";"3";"4822";"Nikolaos Gkillas";"1";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"4";"1328";"Konstantinos Genidounias";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"5";"1331";"Ioannis Fountoulis";"3";"5";"2";"4";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0"
"Olympiacos Piraeus";"6";"11480";"Dimitris Dimou";"5";"7";"2";"4";"1";"1";"2";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0"
"Olympiacos Piraeus";"7";"1343";"Gergo Zalanki";"0";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"1";"0";"0"
"Olympiacos Piraeus";"8";"483";"Andro Buslje";"3";"3";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"9";"11477";"Ioannis Alafragkis";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
