"TEAM";"#";"ID";"PLAYER";"GOALS";"ATTEMPTS";"ACTION GOALS";"ACTION ATTEMPTS";"DIRECT FOUL GOALS";"DIRECT FOUL ATTEMPTS";"POWERPLAY GOALS";"POWERPLAY ATTEMPTS";"PENALTY GOALS";"PENALTY ATTEMPTS";"FAST BREAK GOALS";"FAST BREAK ATTEMPTS";"ASSISTS";"PF DRAWN";"STEALS";"BLOCKS";"SWIMOFFS";"PERSONAL FOULS";"BALLS LOST";"OFFENSIVE FOULS";"SAVES"
"Olympiacos Piraeus";"1";"1327";"Emmanouil Zerdevas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"Olympiacos Piraeus";"2";"11480";"Dimitris Dimou";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"3";"4822";"Nikolaos Gkillas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0"
"Olympiacos Piraeus";"4";"1328";"Konstantinos Genidounias";"4";"8";"0";"3";"0";"1";"4";"4";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"2";"0";"0"
"Olympiacos Piraeus";"5";"1331";"Ioannis Fountoulis";"3";"7";"1";"3";"0";"1";"1";"2";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0"
"Olympiacos Piraeus";"6";"861";"Konstantinos Gouvis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Olympiacos Piraeus";"8";"483";"Andro Buslje";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0"
"Olympiacos Piraeus";"9";"11477";"Ioannis Alafragkis";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Olympiacos Piraeus";"10";"177";"Konstantinos Kakaris";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"2";"0";"0";"0"
"Olympiacos Piraeus";"11";"128";"Dimitrios Nikolaidis";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"2";"2";"0"
"Olympiacos Piraeus";"12";"1332";"Alexandros Papanastasiou";"0";"3";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"2";"1";"0";"0";"1";"0";"1";"0"
"Olympiacos Piraeus";"13";"963";"Panagiotis Tzortzatos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Olympiacos Piraeus";"7";"1343";"Gergo Zalanki";"1";"7";"0";"3";"0";"2";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Rari Nantes Savona";"1";"535";"Gianmarco Nicosia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"11"
"Rari Nantes Savona";"2";"18186";"Niccolo Rocchi";"0";"3";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0"
"Rari Nantes Savona";"3";"18189";"Tommaso Cora";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"4";"1356";"Pietro Figlioli";"2";"5";"0";"1";"0";"0";"2";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"5";"6038";"Davide Occhione";"2";"4";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0"
"Rari Nantes Savona";"6";"18190";"Valerio Rizzo";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rari Nantes Savona";"7";"1411";"Daniil Merkulov";"3";"8";"2";"6";"0";"1";"1";"1";"0";"0";"0";"0";"1";"2";"0";"1";"0";"2";"0";"0";"0"
"Rari Nantes Savona";"8";"532";"Lorenzo Bruni";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
"Rari Nantes Savona";"9";"13755";"Alessandro Gullotta";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rari Nantes Savona";"10";"18187";"Mario Guidi";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"2";"2";"1";"0"
"Rari Nantes Savona";"11";"6041";"Andrea Patchaliev";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0"
"Rari Nantes Savona";"12";"1348";"Balazs Erdelyi";"2";"3";"1";"1";"0";"0";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"1";"1";"0";"0";"0"
"Rari Nantes Savona";"13";"6031";"Nicolo Da Rold";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
